ans_sum,curr,title
"[['6120.8'], ['6243.2'], ['6240\xa0'], ['6606.6']]","正确答案：,C ",王某打算在未来三年每年年初存入2000元，年利率2%，单利计息，则在第三年年末存款的终值是（  ）元。
"[['直线下降，至到期日等于债券面值'], ['波动下降，到期日之前一直高于债券面值'], ['波动下降，到期日之前可能等于债券面值'], ['波动下降，到期日之前可能低于债券面值']]","正确答案：,B ",假设折现率保持不变，溢价发行的平息债券自发行后债券价值(　)。
"[['标的股票一定是发行公司本身的股票'], ['票面利率一般低于普通债券的票面利率'], ['存在不转换的财务压力'], ['存在股价上扬风险']]","正确答案：,B ,C ,D ",下列关于可转换债券的说法中，正确的有（ ）。
"[['4'], ['5'], ['4.6'], ['5.4']]","正确答案：,D ",有甲、乙两台设备可供选用，甲设备的年使用费比乙设备低2000元，但价格高于乙设备8000元。若资本成本为10%，甲设备的使用期应长于（ ）年，选用甲设备才是有利的。
"[['1000'], ['1058.82'], ['1028.82'], ['1147.11']]","正确答案：,C ",甲公司在2008年1月1日发行5年期债券，面值1000元，票面年利率6%，于每年6月30日和12月31日付息，到期时一次还本。ABC公司欲在2011年7月1日购买甲公司债券100张，假设市场利率为4%，则债券的价值为( )元。
"[['√'], ['×']]","正确答案：,B ",一次到期债券是发行公司于债券偿债日一次偿还全部债券本金的债券。（  ）
"[['√'], ['×']]","正确答案：,A ",到期一次还本付息债券，本质上也是一种纯贴现债券。（  ）
"[['√'], ['×']]","正确答案：,A ",债券收益率曲线是描述在某一时点上（或某一天）一组可交易债券的收益率与其剩余到期期限之间数量关系的一条趋势曲线 。（）
"[['4'], ['5'], ['4.6'], ['5.4']]","正确答案：,D ",有甲、乙两台设备可供选用，甲设备的年使用费比乙设备低2000元，但价格高于乙设备8000元。若资本成本为10%，甲设备的使用期应长于（ ）年，选用甲设备才是有利的。
"[['潜在的普通股主要包括：可转换公司债券.认股权证和股份期权等'], ['对于可转换公司债券，计算稀释每股收益时，分子的调整项目为可转换公司债券当期已确认为费用的利息等的影响额'], ['对于可转换公司债券，计算稀释每股收益时，分母的调整项目为假定可转换公司债券当期期初或发行日转换为普通股的股数加权平均数'], ['对于认股权证.股份期权等的行权价格低于当期普通股平均市场价格时，应当考虑其稀释性']]","正确答案：,B ",下列有关稀释每股收益的说法，错误的是（ ）。
"[['√'], ['×']]","正确答案：,A ",从资金的借贷关系看，利率是一定时期内运用资金资源的交易价格
"[['非固定增长股票模型'], ['固定增长股票模型'], ['零增长股票模型'], ['纯贴现股票模型']]","正确答案：,A ,B ,C ",下列各项中，属于股票估价模型的有( )。
"[['优先分配利润'], ['优先分配剩余财产'], ['对公司重大事项拥有优先表决权'], ['除规定情形外，优先股股东不出席股东大会会议，所持股份没有表决权']]","正确答案：,A ,B ,D ",与普通股相比，优先股的特殊性表现在(　)。
"[['√'], ['×']]","正确答案：,A ",某投资人持有A公司股票，投资必要报酬率为15%。预计A公司未来5年股利将以23%的增长率高速增长，此后便转为正常增长，增长率为15%。公司最近支付的股利是2元。要求计算该公司的股票价值。此时需要用到的是股票估价的三阶段模型。（ ）
"[['乙方案优于甲方案'], ['甲方案的风险大于乙方案'], ['甲方案的风险小于乙方案'], ['无法评价甲乙方案的风险大小']]","正确答案：,C ",某企业拟进行一项存在一定风险的完整工业项目投资，有甲、乙两个方案可供选择。已知甲方案净现值的期望值为2000万元，标准离差为500万元;乙方案净现值的期望值为2500万元，标准离差为800万元。下列结论中正确的是(　)。
"[['11.58'], ['10.39'], ['11.2'], ['8.81']]","正确答案：,D ",甲公司刚刚支付的股利为1元/股，预计最近两年每股股利增长率均为10%，第三年增长率为4%，从第四年开始每股股利保持上年水平不变，甲股票的必要报酬率为14%，则目前甲股票的内在价值为（　）元。
"[['一项资产虽然预期收益率低，但风险水平也高'], ['一项资产虽然预期收益率低，但风险水平也低'], ['一项资产具有较高的预期收益率同时也具有较高的风险水平'], ['一项资产具有较高的预期收益率，但风险水平低']]","正确答案：,B ,C ",当面临以下这样两种资产时，风险回避者的选择就要取决于他们对待风险的不同态度：（ ）。
"[['β系数等于0时'], ['β系数等于1时'], ['β系数大于0时'], ['β系数等于-1时']]","正确答案：,B ",当市场组合的（   ），该β系数就是相对于市场组合而言的单个股票的系统风险，或不可避免风险。
"[['（P/F,12%,5）=0.5674'], ['（F/A, 12%,5）=6.3525'], ['（P/A, 12%,5）=3.6050'], ['（A/P, 12%,5）=0.2774']]","正确答案：,A ,B ,C ,D ","如果（F/P,12%,5）=1.7623，则下述系数正确的有（　）。"
"[['正确'], ['错误']]","正确答案：,A ",投资风险主要取决于投资的行业和投资时间长短
"[['标准离差率'], ['标准差'], ['期望值'], ['方差']]","正确答案：,C ",下列选项中，可以表示一定风险下的收益情况的是（）
"[['正确'], ['错误']]","正确答案：,A ","当市场组合的β系数等于1时，该β系数就是相对于市场组合而言的单个股票的系统,
风险，或不可避免风险。"
"[['15.90%'], ['18%'], ['3.40%'], ['10%']]","正确答案：,A ,C ",资产组合由A、B两种股票组成，A股票的预期收益率为18%，标准差为12%，占组合资产的30%，B股票的预期收益率为15%，标准差为10%，占组合资产的70%，两种股票完全负相关，则该组合的预期收益率和收益率的标准差分别是（   ）。
"[['投资结构风险'], ['现金风险'], ['投资项目风险'], ['投资组合风险']]","正确答案：,A ,C ,D ",下列风险中取决于投资的行业和投资时间长短的是（　　）。
"[['收益分配风险'], ['公司特有的风险'], ['投资风险'], ['市场风险']]","正确答案：,B ,D ",风险从个别投资主体的角度看可分为
"[['市场风险'], ['不可分散风险'], ['系统风险'], ['公司特有风险']]","正确答案：,D ",从公司本身的角度来看，经营风险和财务风险属于（   ）
"[['一定小于该投资方案的内含报酬率'], ['一定大于该投资方案的内含报酬率'], ['一定等于该投资方案的内含报酬率'], ['可能大于也可能小于该投资方案的内含报酬率']]","正确答案：,B ",一般情况下，使某投资方案的净现值小于零的折现率（  ）
"[['√'], ['×']]","正确答案：,A ",企业价值最大化目标反映了企业对资产增值保值的要求
"[['购买普通股股票'], ['购买公司债券'], ['购买国库券'], ['购买优先股股票']]","正确答案：,D ",以下投资类型中属于混合性投资的是
"[['投资利润率'], ['财务净现值'], ['财务内部收益率'], ['资产负债率']]","正确答案：,D ",以下指标中不属于财务盈利能力分析指标的是
"[['市场上'], ['环境上'], ['金融上'], ['资本上']]","正确答案：,A ",项目可行性研究是从（ ）、技术上及经济上论证建设项目可行性的综合研究，是预测项目的经济效益及生命力、筹措资金、开展设计、进行谈判、签订各种合同和进行施工准备的重要依据
"[['股利收益率为2.5%'], ['股利收益率为1.5%'], ['利得收益率为22.5%'], ['利得收益率为20%']]","正确答案：,A ,D ",某股票一年前的价格为10元，一年中的税后股息为0.25，现在的市价为12元。那么，在不考虑交易费用的情况下，一年内该股票的股利收益率和利得收益率分别是（ ）。
"[['应收账款周转率=销售收入/平均应收账款×100%'], ['存货周转率=销售收入/平均存货余额×100%'], ['流动资产周转率=销售收入/流动资产总额×100%'], ['资产净利率=净利润/平均资产总额×100%']]","正确答案：,A ,D ",以下公式正确的是（   ）。
"[['购买债券'], ['购买股票'], ['采取合同方式投出资产'], ['采取协议方式投出资产']]","正确答案：,B ,C ,D ",权益性投资主要是企业通过（ ）取得股权
"[['正确'], ['错误']]","正确答案：,A ",风险由于其本身的不确定性，既可能使企业获利，也可能使企业遭受损失。
"[['市场上'], ['环境上'], ['金融上'], ['资本上']]","正确答案：,A ",项目可行性研究是从（ ）、技术上及经济上论证建设项目可行性的综合研究，是预测项目的经济效益及生命力、筹措资金、开展设计、进行谈判、签订各种合同和进行施工准备的重要依据
"[['内部收益率'], ['投资利润率'], ['净现值率'], ['获利指数']]","正确答案：,B ",下列指标的计算中，没有直接利用净现金流量的是
"[['减少损失'], ['降低事故发生概率'], ['彻底杜绝风险的可能性'], ['实现企业财务的稳定性']]","正确答案：,C ",下列选项中不适宜作为风险管理的目标的是(  )
"[['期望收益'], ['收益频数分布的离散程度'], ['标准差'], ['标准离差率']]","正确答案：,B ,C ,D ",下列选项中，可以用来衡量风险大小的是（   ）
"[['投产期'], ['在产期'], ['试产期'], ['达产期']]","正确答案：,C ,D ",运营期是指投产日到终结点之间的时间间隔，包括
"[['√'], ['×']]","正确答案：,A ",从财务评价的角度，投资决策评价指标主要包括静态投资回收期、总投资收益率、净现值、净现值率和内部收益率五个指标
"[['需购置新的生产流水线价值150万元，同时垫付20万元流动资金'], ['利用现有的库存材料，该材料目前的市价为10万元'], ['车间建在距离总厂10公里外的95年已购入的土地上，该块土地若不使用可以300万元出售'], ['2003年公司曾支付5万元的咨询费请专家论证过此事']]","正确答案：,A ,B ,C ",某公司拟于2009年初新建一生产车间用于某种新产品的开发，则与该投资项目有关的现金流量是
"[['销售收入'], ['经营成本'], ['生产能力'], ['初始投资']]","正确答案：,A ,B ,C ,D ",敏感性因素一般可选择主要参数如（ ）进行分析
"[['√'], ['×']]","正确答案：,A ",市场调查与分析的内容广泛，为投资项目的可行性研究提供了重要的资源和依据。
"[['一定小于该投资方案的内含报酬率'], ['一定大于该投资方案的内含报酬率'], ['一定等于该投资方案的内含报酬率'], ['可能大于也可能小于该投资方案的内含报酬率']]","正确答案：,B ",一般情况下，使某投资方案的净现值小于零的折现率（  ）
"[['√'], ['×']]","正确答案：,B ",若参数的小幅度变化能导致较大的经济效果指标变化，则称此参数为非敏感性因素
"[['甲方案'], ['乙方案'], ['丙方案'], ['丁方案']]","正确答案：,A ",某企业拟进行一项固定资产投资项目决策，设定贴现率为12%，有四个方案可供选择：甲方案的项目计算期为10年，净现值为1000万元，10年期、贴现率为10%的投资回收系数为0.177；乙方案的现值指数为0.85；丙方案的项目计算期为11年，其年金净流量为150万元；丁方案的内含报酬率为10%。最优的投资方案是（ ）
"[['购买普通股股票'], ['购买公司债券'], ['购买国库券'], ['购买优先股股票']]","正确答案：,D ",以下投资类型中属于混合性投资的是
"[['正的协方差表明，平均而言两个变量是朝同一个方向变动的；'], ['负的协方差表明，平均而言两个变量是朝反方向变动的；'], ['协方差为零，表示两个变量不一起变动，其变动方向不一致也不相反'], ['协方差为零，表示两个变量是朝同一个方向变动的；']]","正确答案：,A ,B ,C ",下面关于协方差的表述正确的是（ ）
"[['√'], ['×']]","正确答案：,A ",普遍调查是对调查对象进行全样本调查
"[['回收流动资金'], ['回收固定资产残值收入'], ['原始投资'], ['经营期末营业净现金流量'], ['固定资产的变价收入']]","正确答案：,A ,B ,D ,E ",在完整的工业投资项目中，经营期期末（终结时点）发生的净现金流量包括
"[['购买债券'], ['购买股票'], ['采取合同方式投出资产'], ['采取协议方式投出资产']]","正确答案：,B ,C ,D ",权益性投资主要是企业通过（ ）取得股权
"[['回收流动资金'], ['回收固定资产残值收入'], ['原始投资'], ['经营期末营业净现金流量'], ['固定资产的变价收入']]","正确答案：,A ,B ,D ,E ",在完整的工业投资项目中，经营期期末（终结时点）发生的净现金流量包括
"[['√'], ['×']]","正确答案：,A ",人们将投资于两种或两种以上资产的投资称为组合投资。
"[['√'], ['×']]","正确答案：,B ",在投资项目可行性研究中，应首先进行财务可行性评价，再进行技术可行性分析，如果项目具备财务可行性和技术可行性，就可以做出该项目应当投资的决策
"[['需购置新的生产流水线价值150万元，同时垫付20万元流动资金'], ['利用现有的库存材料，该材料目前的市价为10万元'], ['车间建在距离总厂10公里外的95年已购入的土地上，该块土地若不使用可以300万元出售'], ['2003年公司曾支付5万元的咨询费请专家论证过此事']]","正确答案：,A ,B ,C ",某公司拟于2009年初新建一生产车间用于某种新产品的开发，则与该投资项目有关的现金流量是
"[['√'], ['×']]","正确答案：,B ",市场调查方法包含：普遍调查、抽样调查、专家调查、档案研究
"[['市场上'], ['环境上'], ['金融上'], ['资本上']]","正确答案：,A ",项目可行性研究是从（ ）、技术上及经济上论证建设项目可行性的综合研究，是预测项目的经济效益及生命力、筹措资金、开展设计、进行谈判、签订各种合同和进行施工准备的重要依据
"[['内部收益率'], ['投资利润率'], ['净现值率'], ['获利指数']]","正确答案：,B ",下列指标的计算中，没有直接利用净现金流量的是
"[['√'], ['×']]","正确答案：,B ",若参数的小幅度变化能导致较大的经济效果指标变化，则称此参数为非敏感性因素
"[['一定小于该投资方案的内含报酬率'], ['一定大于该投资方案的内含报酬率'], ['一定等于该投资方案的内含报酬率'], ['可能大于也可能小于该投资方案的内含报酬率']]","正确答案：,B ",一般情况下，使某投资方案的净现值小于零的折现率（  ）
"[['√'], ['×']]","正确答案：,A ",市场调查与分析的内容广泛，为投资项目的可行性研究提供了重要的资源和依据。
"[['甲方案'], ['乙方案'], ['丙方案'], ['丁方案']]","正确答案：,A ",某企业拟进行一项固定资产投资项目决策，设定贴现率为12%，有四个方案可供选择：甲方案的项目计算期为10年，净现值为1000万元，10年期、贴现率为10%的投资回收系数为0.177；乙方案的现值指数为0.85；丙方案的项目计算期为11年，其年金净流量为150万元；丁方案的内含报酬率为10%。最优的投资方案是（ ）
"[['16%'], ['17.04%'], ['12%'], ['17.57%']]","正确答案：,D ",ABC公司增发普通股股票1000万元，筹资费率为8%，本年的股利率为12%，预计股利年增长率为4%，所得税税率为30%，则普通股的资本成本为（　）。
"[['此时销售额正处于销售收入线与总成本线的交点'], ['此时的经营杠杆系数趋近于无穷小'], ['此时的营业销售利润率等于零'], ['此时的边际贡献等于固定成本']]","正确答案：,B ",若某一企业的经营处于盈亏临界状态，错误的说法是（    ）。
"[['√'], ['×']]","正确答案：,B ",在投资项目可行性研究中，应首先进行财务可行性评价，再进行技术可行性分析，如果项目具备财务可行性和技术可行性，就可以做出该项目应当投资的决策
"[['投产期'], ['在产期'], ['试产期'], ['达产期']]","正确答案：,C ,D ",运营期是指投产日到终结点之间的时间间隔，包括
"[['任何投资项目的投资收益率必须高于资本成本'], ['是最低可接受的收益率'], ['是投资项目的取舍收益率'], ['等于各项资本来源的成本加权计算的平均数']]","正确答案：,A ,B ,C ,D ",关于资本成本的说法正确的是（    ）。
"[['√'], ['×']]","正确答案：,B ",市场调查方法包含：普遍调查、抽样调查、专家调查、档案研究
"[['√'], ['×']]","正确答案：,A ",普遍调查是对调查对象进行全样本调查
"[['√'], ['×']]","正确答案：,A ",从财务评价的角度，投资决策评价指标主要包括静态投资回收期、总投资收益率、净现值、净现值率和内部收益率五个指标
"[['√'], ['×']]","正确答案：,A ",由长期借款的特点可知，借款利息和借款手续费构成了计算长期借款资本成本的基础。（    ）
"[['销售收入'], ['经营成本'], ['生产能力'], ['初始投资']]","正确答案：,A ,B ,C ,D ",敏感性因素一般可选择主要参数如（ ）进行分析
"[['“投资不足问题”所引起的代理成本最终要由股东来承担'], ['“过度投资问题”所引起的代理成本最终要由债权人来承担'], ['假设不考虑代理成本与代理收益，当财务困境成本的现值大于利息抵税收益的现值时，有杠杆的企业价值低于无杠杆的企业价值'], ['权衡理论认为债务越高，企业价值越大']]","正确答案：,A ,C ",下列有关描述中正确的有( )。
"[['固定经营成本'], ['单位边际贡献'], ['产销量'], ['固定利息']]","正确答案：,A ,B ,C ,D ",下列各项中。影响总杠杆系数变动的因素有（    ）。
"[['√'], ['×']]","正确答案：,B ",一般而言，企业资本成本最高的筹资方式是发行优先股。（    ）
"[['普通股成本'], ['留存收益成本'], ['债券成本'], ['银行借款成本']]","正确答案：,C ,D ",税率是影响资本成本的一个外部因素，下列各种资本成本中，受税率影响的有( )
"[['1.25'], ['1.5'], ['1.33'], ['1.2']]","正确答案：,B ",某公司当期利息全部费用化，其已获利息倍数为3，不考虑优先股，则该公司的财务杠杆系数是（    ）。
"[['√'], ['×']]","正确答案：,A ",只要在企业的筹资方式中有固定财务支出的债务和优先股，就存在财务杠杆作用。（    ）
"[['金融机构'], ['企业'], ['工商户'], ['个人']]","正确答案：,B ",短期借款是指（）向银行借入的期限在一年以内的借款。
"[['应付账款'], ['应付票据'], ['应收账款'], ['预收账款']]","正确答案：,A ",（）是企业赊购商品和材料时产生的应付未付的以记账方式表达的商业信用。
"[['公司在最近5年内财务会计文件无虚假记载'], ['近3年内财物会计文件无虚假记载'], ['公司预期利润率应远远超过同期银行存款利率'], ['公司在最近5年内连续盈利，并可向股东支付股利，但以当年利润分配新股的不受此限。']]","正确答案：,B ",公司增发新股，必须具备以下哪个条件（）
"[['抵押贷款'], ['信用贷款'], ['科技开发贷款'], ['固定资产贷款']]","正确答案：,A ,B ",长期借款按贷款有无抵押品分为（）。
"[['提出申请'], ['等待审批'], ['进行复审'], ['上市发行']]","正确答案：,A ,B ,C ,D ",按照我国《公司法》的规定，企业公开发行股票应按什么程序办理（）
"[['售后回租'], ['杠杆租赁'], ['直接租赁'], ['转租赁']]","正确答案：,D ",（）的特点是承租人所租设备是租赁公司从国内外的其他租赁公司或设备制造厂商租来的。
"[['长期筹资'], ['自有资金'], ['债务筹资'], ['短期筹资']]","正确答案：,B ,C ",以下哪些是按所筹资金的性质不同进行分类的（）。
"[['长期筹资和短期筹资'], ['直接筹资和间接筹资'], ['自有资金和债务筹资'], ['民间资金和外商资金']]","正确答案：,C ",企业筹资按所筹资金的性质不同分为（）。
"[['追加筹资时原个别资本成本不变'], ['追加筹资时原个别资本成本降低'], ['追加筹资时原个别资本成本升高'], ['追加筹资时个别资本成本随筹资规模增大而降低']]","正确答案：,A ",属于计算边际资本成本应该考虑的因素的是（    ）。
"[['√'], ['×']]","正确答案：,A ",长期借款可发挥财务杠杆作用。利用借款筹资，在企业盈利较多的情况下，普通股股东权益会大幅度增加。
"[['√'], ['×']]","正确答案：,A ",权衡理论认为负债可以为企业带来税额庇护利益，当负债比率超过某一程度后，破产成本开始变得重要，边际负债的税额庇护利益等于边际破产成本时，企业价值最大，达到最佳资本结构。（   ）
"[['√'], ['×']]","正确答案：,B ",非银行金融机构中的部分机构为了达到一定的目的而聚集资金，会通过一定的途径或方式将一部分不会立即投入使用的资金以各种方式投资于企业。这种筹资渠道的财力比银行信贷资金要大。（）
"[['√'], ['×']]","正确答案：,A ",长期借款是指企业向银行或其他非银行金融机构借入的期限在一年以下的借款，主要用于构建固定资产和满足长期流动资金运用的需要。
"[['√'], ['×']]","正确答案：,B ",申请发行股票的企业应聘请有资格的中介机构对其资信、资产、财务状况等进行审定、评估，不需具资产评估报告、审计报告和法律意见书，连同招股说明书按隶属关系向各级人民政府或中央企业主管部门提出申请。
"[['√'], ['×']]","正确答案：,B ",分期偿还借款适合于借款金额小、借款期限短的借款。（）
"[['提前偿还'], ['分批偿还'], ['一次偿还'], ['债权替换']]","正确答案：,D ",下列不属于债券偿还本金方式的是（）。
"[['筹资速度慢'], ['财务风险较大'], ['限制条款较多'], ['借款弹性差']]","正确答案：,B ,C ",短期借款筹资的缺点有（）。
"[['现金有价证券可以相互转换'], ['现金的存在形式在不断变化'], ['现金在不同时点上可以灵活使用'], ['各种动机所需的现金可以调节使用']]","正确答案：,D ",企业持有的现金总额通常小于交易动机、预防动机和投资动机所需要的现金余额之和，其原因是
"[['品种较多的存货'], ['数量较多的存货'], ['单位价值较大的存货'], ['库存时间较长的存货']]","正确答案：,C ",采用ABC控制法进行存货管理时，应该重点控制的存货类别是（   ）
"[['√'], ['×']]","正确答案：,A ",销售百分比法中，长期负债属于非敏感项目（）
"[['应收账款周转期'], ['存货周转期'], ['应付账款周转期'], ['现金周转期']]","正确答案：,C ",企业要购买原材料，并不是都是收到原材料的当天就马上付款，通常会有一定的延迟，这一延迟的时间段是（    ）
"[['√'], ['×']]","正确答案：,A ",发行公司债券的申请经批准后，发行公司应制作公司债券募集办法，并向社会公告。公司发出公司债券募集公告后，开始在公告所定的期限内募集资金。
"[['√'], ['×']]","正确答案：,B ",债券没有固定的到期日，并需定期支付利息，利用债券筹资，要承担还本付息的义务。在公司经营不景气时，也需向债券持有人还本付息，这会给公司带来更大的财务困难，有时甚至导致破产。
"[['应收账款的日常管理包括对客户的信用调查和分析评价、应收账款的催收工作等'], ['企业对顾客进行信用调查的主要方法是直接调查法和间接调查法'], ['应收账款的保理可以分为有追索权保理、无追索权保理、明保理和暗保理'], ['到期保理是指保理商并不提供预付账款融资，而是在赊销到期时才支付，届时不管货款是否收到，保理商都必须向销售商支付货款']]","正确答案：,A ,B ,D ",下列关于应收账款日常管理的表述中，正确的有（   ）
"[['应收账款平均余额'], ['变动成本率'], ['销售成本率'], ['资本成本率']]","正确答案：,A ,B ,D ",与应收账款机会成本有关的因素有（   ）
"[['78000'], ['65000'], ['56000'], ['93333.33']]","正确答案：,C ",某企业销售收入为1000万元，信用条件为“1/10，n/50”时，预计有20%的客户选择享受现金折扣，其余客户在信用期付款，变动成本率为60%，资金成本率为8%，则应收账款的机会成本为（   ）元。（一年按360天机算）
"[['√'], ['×']]","正确答案：,A ",因为现金的管理成本是相对固定的，所以在确定最佳现金持有量时，可以不考虑它的影响
"[['√'], ['×']]","正确答案：,A ",在应收账款的管理中，ABC分析法，又称重点管理法
"[['√'], ['×']]","正确答案：,B ",企业为了应付突发事件，有必要维持比日常运转所需金额更多的现金，这是出于投机性需求
"[['√'], ['×']]","正确答案：,A ",相较于发行债券，商业信用筹资的优点有筹资方便，筹资成本低，甚至不发生筹资成本。
"[['采购部门管理费用'], ['采购人员的工资'], ['订货业务费'], ['预付定金的机会成本']]","正确答案：,C ",下列订货成本中属于变动成本的是（   ）
"[['√'], ['×']]","正确答案：,A ",应收账款的功能指其在生产经营中的作用，主要包括两方面的功能，一是增加销售， 二是减少存货
"[['√'], ['×']]","正确答案：,A ",不变资金是指在一定的产销量范围内，不受产销量变动的影响而保持固定不变的那部分资金，包括：为维持营业而占用的最低数额的现金，原材料的保险储备，必要的成品储备，厂房、机器设备等固定资产占用的资金。（）
"[['√'], ['×']]","正确答案：,A ",阿洪-博尔顿模型在研究资本结构选择与公司控制权安排之间的关系时，考虑了公司控制权的契约本质。该模型运用不完全合同理论，对经理人员与投资者之间的最优控制权安排进行了研究。（    ）
"[['保证合理的资金需求'], ['提高资金的使用效率'], ['节约资金使用成本'], ['保持足够的短期偿债能力']]","正确答案：,A ,B ,C ,D ",营运资金的管理是企业财务管理工作的一项重要内容，营运资金的管理原则包括（   ）
"[['债务比例的大小'], ['公司清偿时债务的顺序'], ['收支的匹配程度'], ['固定成本的比重']]","正确答案：,D ",以下哪项不是影响财务风险的因素（）
